Car Name,Transmission,Mileage,Price,Location
2015 Nissan Almera 1.5 VL Sedan - NISMO BODYKIT,Automatic,90 - 95K KM,"RM 22,800","Kuala Lumpur, Cheras"
2014 Ford Ranger 2.2 XLT Dual Cab Pickup Truck,Manual,90 - 95K KM,"RM 36,800","Kuala Lumpur, Cheras"
2022 Mercedes-Benz CLA250 2.0 4MATIC AMG Line Coupe - 4 MA...,Automatic,10 - 15K KM,"RM 263,000","Kuala Lumpur, Jalan Ipoh"
2023 Toyota Alphard 2.5 Z MPV - SUNROOF 360 CAMERA BLACK I...,Automatic,0 - 5K KM,"RM 359,888","Kuala Lumpur, Old Klang Road"
2017 Honda Civic 1.8 S i-VTEC Sedan - 1 OWNER,Automatic,80 - 85K KM,"RM 57,800","Kuala Lumpur, Cheras"
2022 Honda Civic 1.8 S i-VTEC Sedan - TYPE R HIGH SPEC FSR...,Automatic,45 - 50K KM,"RM 89,888","Selangor, Bandar Baru Bangi"
2022 Honda Civic 1.8 S i-VTEC Sedan - TYPE R HIGH SPEC FSR...,Automatic,45 - 50K KM,"RM 89,888","Kuala Lumpur, Cheras"
2014 Honda CR-V 2.4 i-VTEC SUV - FACELIFT HI SPEC,Automatic,80 - 85K KM,"RM 39,800","Kuala Lumpur, Cheras"
2022 Toyota Corolla Cross 1.8 Hybrid SUV,Automatic,50 - 55K KM,"RM 98,800","Johor, Skudai"
2022 Proton X50 1.5 Executive SUV,Automatic,45 - 50K KM,"RM 68,800","Johor, Skudai"
2018 BMW 330e 2.0 M Sport Sedan - CAR KING - CONDITION PER...,Automatic,100 - 105K KM,"RM 63,999","Selangor, Cheras"
2014 BMW 316i 1.6 Sedan - . CAR KING - CONDITION PERFECT -...,Automatic,115 - 120K KM,"RM 41,999","Selangor, Cheras"
2017 BMW X5 2.0 xDrive40e M Sport SUV - CAR KING - CONDITI...,Automatic,105 - 110K KM,"RM 79,999","Selangor, Cheras"
2019 Honda City 1.5 V i-VTEC Sedan - LOW MILEAGE FULL BODY...,Automatic,55 - 60K KM,"RM 57,999","Kuala Lumpur, Sungai Besi"
2023 Toyota Hilux 2.4 V Dual Cab Pickup Truck - FULL SERVI...,Automatic,60 - 65K KM,"RM 112,999","Kuala Lumpur, Sungai Besi"
2018 Mercedes-Benz CLA200 1.6 AMG Line Coupe - FULL SPEC F...,Automatic,60 - 65K KM,"RM 112,999","Kuala Lumpur, Sungai Besi"
2014 BMW 428i 2.0 M Sport Coupe - FULL SERVIES RECORD ORIG...,Automatic,80 - 85K KM,"RM 92,999","Kuala Lumpur, Sungai Besi"
2019/2021 Mercedes-Benz A250 2.0 AMG Line Sedan - Convert ...,Automatic,30 - 35K KM,"RM 153,999","Kuala Lumpur, Sungai Besi"
2018 Mercedes-Benz E200 2.0 Avantgarde Sedan - MEMORY SEAT...,Automatic,65 - 70K KM,"RM 118,999","Kuala Lumpur, Sungai Besi"
2018 Honda Civic 1.5 TC VTEC Premium Sedan - FULL SERVICE ...,Automatic,65 - 70K KM,"RM 79,999","Kuala Lumpur, Sungai Besi"
2018 Volkswagen Golf 2.0 GTi Hatchback - MK7.5 FULL R BODY...,Automatic,70 - 75K KM,"RM 139,999","Kuala Lumpur, Sungai Besi"
2016 Honda HR-V 1.8 i-VTEC V SUV - FULL SPEC DOWNPAYMENT L...,Automatic,95 - 100K KM,"RM 47,999","Kuala Lumpur, Sungai Besi"
2018 Honda City 1.5 V i-VTEC Sedan - LOW MILEAGE FULL BODY...,Automatic,50 - 55K KM,"RM 52,999","Kuala Lumpur, Sungai Besi"
2018 Mercedes-Benz C43 AMG 3.0 4MATIC Sedan - DIGITAL METE...,Automatic,85 - 90K KM,"RM 199,999","Kuala Lumpur, Sungai Besi"
2016/2017 BMW 330i 2.0 M Sport Sedan - B48 ENGINE FULL SPE...,Automatic,70 - 75K KM,"RM 104,999","Kuala Lumpur, Sungai Besi"
